TECHNOLOGIES,YEAR,powerCost,investCost,operationCost,lifeSpan,EnergyNbhourCap,EmissionCO2,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
TAC,2020,0,0,36000,60,0,0,0,0,0,0
Coal_p,2020,18,0,36000,60,0,1000,0.06,0.06,0,0
CCG,2020,0,0,36000,60,0,0,0.06,0.06,0,0
OldNuke,2020,0,0,150000,60,0,0,0.04,0.04,0,0
NukeCarrene,2020,0,1587000,150000,80,0,0,0,0,0,0
NewNuke,2020,0,5000000,150000,80,0,0,0,0,0,0
WindOnShore,2020,0,1300000,40000,30,0,0,0,0,0,0
WindOffShore,2020,0,3100000,110000,20,0,0,0,0,0,0
HydroReservoir,2020,0,1500000,20000,80,2100,0,0,0,0,0
HydroRiver,2020,0,1500000,20000,80,0,0,0,0,0,0
Solar,2020,0,750000,11000,25,0,0,0,0,0,0
Interco,2020,150,0,0,100,0,290,0,0,0,0
curtailment,2020,3000,0,0,100,0,0,0,0,0,0
electrolysis_AEL,2020,0,1200000,36000,20,0,0,0,0,0,0
SMR_class,2020,0,800000,40000,30,0,0,0.3,0,0,0
SMR_CCS1,2020,0,900000,45000,30,0,-169,0.3,0,0,0
SMR_CCS2,2020,0,1000000,50000,30,0,-268,0.3,0,0,0
SMR_elec,2020,0,1300000,60000,30,0,0,0.3,0,0,0
SMR_elecCCS1,2020,0,1400000,67500,30,0,-156,0.3,0,0,0
CCS1,2020,0,100000,0,30,0,0,0,0,0,0
CCS2,2020,0,100000,0,30,0,0,0,0,0,0
SMR_class_ex,2020,0,0,40000,20,0,0,0.3,0,0,0
electrolysis_PEMEL,2020,0,1700000,51000,20,0,0,0,0,0,0
cracking,2020,0,1000000,26000,30,0,-474,0,0,0,0