,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDem_Dvar
0,2025,2025,CCG,0.0
1,2025,2025,electrolysis_AEL,0.0
2,2025,2025,WindOffShore,0.0
3,2025,2025,CCG_H2,0.0
4,2025,2025,NewNuke,-0.0
5,2025,2025,TAC,0.0
6,2025,2025,OldNuke,100000.0
7,2025,2025,Solar,0.0
8,2025,2025,IntercoOut,0.0
9,2025,2025,HydroRiver,0.0
10,2025,2025,IntercoIn,0.0
11,2025,2025,HydroReservoir,0.0
12,2025,2025,WindOnShore,0.0
13,2025,2025,TAC_H2,0.0
14,2025,2025,curtailment,100000.0
15,2025,2025,Coal_p,0.0
16,2025,2010,CCG,0.0
17,2025,2010,electrolysis_AEL,0.0
18,2025,2010,WindOffShore,0.0
19,2025,2010,CCG_H2,0.0
20,2025,2010,NewNuke,0.0
21,2025,2010,TAC,0.0
22,2025,2010,OldNuke,0.0
23,2025,2010,Solar,0.0
24,2025,2010,IntercoOut,0.0
25,2025,2010,HydroRiver,0.0
26,2025,2010,IntercoIn,0.0
27,2025,2010,HydroReservoir,0.0
28,2025,2010,WindOnShore,0.0
29,2025,2010,TAC_H2,0.0
30,2025,2010,curtailment,0.0
31,2025,2010,Coal_p,0.0
32,2025,2020,CCG,0.0
33,2025,2020,electrolysis_AEL,0.0
34,2025,2020,WindOffShore,0.0
35,2025,2020,CCG_H2,0.0
36,2025,2020,NewNuke,0.0
37,2025,2020,TAC,0.0
38,2025,2020,OldNuke,0.0
39,2025,2020,Solar,0.0
40,2025,2020,IntercoOut,0.0
41,2025,2020,HydroRiver,0.0
42,2025,2020,IntercoIn,0.0
43,2025,2020,HydroReservoir,0.0
44,2025,2020,WindOnShore,0.0
45,2025,2020,TAC_H2,0.0
46,2025,2020,curtailment,0.0
47,2025,2020,Coal_p,0.0
48,2025,2015,CCG,0.0
49,2025,2015,electrolysis_AEL,0.0
50,2025,2015,WindOffShore,0.0
51,2025,2015,CCG_H2,0.0
52,2025,2015,NewNuke,0.0
53,2025,2015,TAC,0.0
54,2025,2015,OldNuke,0.0
55,2025,2015,Solar,0.0
56,2025,2015,IntercoOut,0.0
57,2025,2015,HydroRiver,0.0
58,2025,2015,IntercoIn,0.0
59,2025,2015,HydroReservoir,0.0
60,2025,2015,WindOnShore,0.0
61,2025,2015,TAC_H2,0.0
62,2025,2015,curtailment,0.0
63,2025,2015,Coal_p,0.0
64,2010,2025,CCG,0.0
65,2010,2025,electrolysis_AEL,0.0
66,2010,2025,WindOffShore,0.0
67,2010,2025,CCG_H2,0.0
68,2010,2025,NewNuke,0.0
69,2010,2025,TAC,3250.0
70,2010,2025,OldNuke,8150.0
71,2010,2025,Solar,0.0
72,2010,2025,IntercoOut,0.0
73,2010,2025,HydroRiver,0.0
74,2010,2025,IntercoIn,0.0
75,2010,2025,HydroReservoir,0.0
76,2010,2025,WindOnShore,0.0
77,2010,2025,TAC_H2,0.0
78,2010,2025,curtailment,0.0
79,2010,2025,Coal_p,500.0
80,2010,2010,CCG,95000.0
81,2010,2010,electrolysis_AEL,0.0
82,2010,2010,WindOffShore,0.0
83,2010,2010,CCG_H2,0.0
84,2010,2010,NewNuke,0.0
85,2010,2010,TAC,92900.0
86,2010,2010,OldNuke,36900.0
87,2010,2010,Solar,96000.0
88,2010,2010,IntercoOut,0.0
89,2010,2010,HydroRiver,89000.0
90,2010,2010,IntercoIn,0.0
91,2010,2010,HydroReservoir,85000.0
92,2010,2010,WindOnShore,92000.0
93,2010,2010,TAC_H2,0.0
94,2010,2010,curtailment,100000.0
95,2010,2010,Coal_p,94000.0
96,2010,2020,CCG,0.0
97,2010,2020,electrolysis_AEL,0.0
98,2010,2020,WindOffShore,0.0
99,2010,2020,CCG_H2,0.0
100,2010,2020,NewNuke,0.0
101,2010,2020,TAC,300.0
102,2010,2020,OldNuke,53100.0
103,2010,2020,Solar,0.0
104,2010,2020,IntercoOut,0.0
105,2010,2020,HydroRiver,0.0
106,2010,2020,IntercoIn,0.0
107,2010,2020,HydroReservoir,0.0
108,2010,2020,WindOnShore,0.0
109,2010,2020,TAC_H2,0.0
110,2010,2020,curtailment,0.0
111,2010,2020,Coal_p,2500.0
112,2010,2015,CCG,5000.0
113,2010,2015,electrolysis_AEL,0.0
114,2010,2015,WindOffShore,0.0
115,2010,2015,CCG_H2,0.0
116,2010,2015,NewNuke,0.0
117,2010,2015,TAC,3550.0
118,2010,2015,OldNuke,1850.0
119,2010,2015,Solar,0.0
120,2010,2015,IntercoOut,0.0
121,2010,2015,HydroRiver,11000.0
122,2010,2015,IntercoIn,0.0
123,2010,2015,HydroReservoir,15000.0
124,2010,2015,WindOnShore,0.0
125,2010,2015,TAC_H2,0.0
126,2010,2015,curtailment,0.0
127,2010,2015,Coal_p,3000.0
128,2020,2025,CCG,0.0
129,2020,2025,electrolysis_AEL,0.0
130,2020,2025,WindOffShore,0.0
131,2020,2025,CCG_H2,0.0
132,2020,2025,NewNuke,0.0
133,2020,2025,TAC,0.0
134,2020,2025,OldNuke,0.0
135,2020,2025,Solar,0.0
136,2020,2025,IntercoOut,0.0
137,2020,2025,HydroRiver,0.0
138,2020,2025,IntercoIn,0.0
139,2020,2025,HydroReservoir,0.0
140,2020,2025,WindOnShore,0.0
141,2020,2025,TAC_H2,0.0
142,2020,2025,curtailment,0.0
143,2020,2025,Coal_p,0.0
144,2020,2010,CCG,0.0
145,2020,2010,electrolysis_AEL,0.0
146,2020,2010,WindOffShore,0.0
147,2020,2010,CCG_H2,0.0
148,2020,2010,NewNuke,0.0
149,2020,2010,TAC,0.0
150,2020,2010,OldNuke,0.0
151,2020,2010,Solar,0.0
152,2020,2010,IntercoOut,0.0
153,2020,2010,HydroRiver,0.0
154,2020,2010,IntercoIn,0.0
155,2020,2010,HydroReservoir,0.0
156,2020,2010,WindOnShore,0.0
157,2020,2010,TAC_H2,0.0
158,2020,2010,curtailment,0.0
159,2020,2010,Coal_p,0.0
160,2020,2020,CCG,0.0
161,2020,2020,electrolysis_AEL,0.0
162,2020,2020,WindOffShore,0.0
163,2020,2020,CCG_H2,0.0
164,2020,2020,NewNuke,0.0
165,2020,2020,TAC,0.0
166,2020,2020,OldNuke,48750.0
167,2020,2020,Solar,0.0
168,2020,2020,IntercoOut,0.0
169,2020,2020,HydroRiver,0.0
170,2020,2020,IntercoIn,0.0
171,2020,2020,HydroReservoir,0.0
172,2020,2020,WindOnShore,0.0
173,2020,2020,TAC_H2,0.0
174,2020,2020,curtailment,0.0
175,2020,2020,Coal_p,0.0
176,2020,2015,CCG,0.0
177,2020,2015,electrolysis_AEL,0.0
178,2020,2015,WindOffShore,0.0
179,2020,2015,CCG_H2,0.0
180,2020,2015,NewNuke,0.0
181,2020,2015,TAC,0.0
182,2020,2015,OldNuke,0.0
183,2020,2015,Solar,0.0
184,2020,2015,IntercoOut,0.0
185,2020,2015,HydroRiver,0.0
186,2020,2015,IntercoIn,0.0
187,2020,2015,HydroReservoir,0.0
188,2020,2015,WindOnShore,0.0
189,2020,2015,TAC_H2,0.0
190,2020,2015,curtailment,0.0
191,2020,2015,Coal_p,0.0
192,2015,2025,CCG,0.0
193,2015,2025,electrolysis_AEL,0.0
194,2015,2025,WindOffShore,0.0
195,2015,2025,CCG_H2,0.0
196,2015,2025,NewNuke,0.0
197,2015,2025,TAC,0.0
198,2015,2025,OldNuke,0.0
199,2015,2025,Solar,0.0
200,2015,2025,IntercoOut,0.0
201,2015,2025,HydroRiver,0.0
202,2015,2025,IntercoIn,0.0
203,2015,2025,HydroReservoir,0.0
204,2015,2025,WindOnShore,0.0
205,2015,2025,TAC_H2,0.0
206,2015,2025,curtailment,0.0
207,2015,2025,Coal_p,0.0
208,2015,2010,CCG,0.0
209,2015,2010,electrolysis_AEL,0.0
210,2015,2010,WindOffShore,0.0
211,2015,2010,CCG_H2,0.0
212,2015,2010,NewNuke,0.0
213,2015,2010,TAC,0.0
214,2015,2010,OldNuke,0.0
215,2015,2010,Solar,0.0
216,2015,2010,IntercoOut,0.0
217,2015,2010,HydroRiver,0.0
218,2015,2010,IntercoIn,0.0
219,2015,2010,HydroReservoir,0.0
220,2015,2010,WindOnShore,0.0
221,2015,2010,TAC_H2,0.0
222,2015,2010,curtailment,0.0
223,2015,2010,Coal_p,0.0
224,2015,2020,CCG,0.0
225,2015,2020,electrolysis_AEL,0.0
226,2015,2020,WindOffShore,0.0
227,2015,2020,CCG_H2,0.0
228,2015,2020,NewNuke,0.0
229,2015,2020,TAC,0.0
230,2015,2020,OldNuke,0.0
231,2015,2020,Solar,0.0
232,2015,2020,IntercoOut,0.0
233,2015,2020,HydroRiver,0.0
234,2015,2020,IntercoIn,0.0
235,2015,2020,HydroReservoir,0.0
236,2015,2020,WindOnShore,0.0
237,2015,2020,TAC_H2,0.0
238,2015,2020,curtailment,0.0
239,2015,2020,Coal_p,0.0
240,2015,2015,CCG,97500.0
241,2015,2015,electrolysis_AEL,0.0
242,2015,2015,WindOffShore,0.0
243,2015,2015,CCG_H2,0.0
244,2015,2015,NewNuke,0.0
245,2015,2015,TAC,96750.0
246,2015,2015,OldNuke,100000.0
247,2015,2015,Solar,84450.0
248,2015,2015,IntercoOut,0.0
249,2015,2015,HydroRiver,89000.0
250,2015,2015,IntercoIn,0.0
251,2015,2015,HydroReservoir,85000.0
252,2015,2015,WindOnShore,87400.0
253,2015,2015,TAC_H2,0.0
254,2015,2015,curtailment,100000.0
255,2015,2015,Coal_p,99500.0
